"";"HP";"Time";"Component";"Animal"
"1";"0.19649735";"0";"O2";"6722"
"2";"0.2241792";"5";"O2";"6722"
"3";"0.222278375";"10";"O2";"6722"
"4";"0.196724383333333";"15";"O2";"6722"
"5";"0.1968379";"20";"O2";"6722"
"6";"0.1968379";"25";"O2";"6722"
"7";"0.19790125";"30";"O2";"6722"
"8";"0.205576366666667";"35";"O2";"6722"
"9";"0.156884666666667";"40";"O2";"6722"
"10";"0.129238725";"45";"O2";"6722"
"11";"0.12881825";"50";"O2";"6722"
"12";"0.124284533333333";"55";"O2";"6722"
"13";"0.1236544";"60";"O2";"6722"
"14";"0.123432";"65";"O2";"6722"
"15";"0.119897925";"70";"O2";"6722"
"16";"0.119897925";"75";"O2";"6722"
"17";"0.11145715";"80";"O2";"6722"
"18";"0.1273657";"85";"O2";"6722"
"19";"0.150977166666667";"90";"O2";"6722"
"20";"0.123309216666667";"95";"O2";"6722"
"21";"0.152297666666667";"100";"O2";"6722"
"22";"0.138490333333333";"105";"O2";"6722"
"23";"0.1422387";"110";"O2";"6722"
"24";"0.1422387";"115";"O2";"6722"
"25";"0.11825425";"120";"O2";"6722"
"26";"0.1534143";"125";"O2";"6722"
"27";"0.19649735";"0";"CO2";"6722"
"28";"0.22805035";"5";"CO2";"6722"
"29";"0.222278375";"10";"CO2";"6722"
"30";"0.196724383333333";"15";"CO2";"6722"
"31";"0.1968379";"20";"CO2";"6722"
"32";"0.1968379";"25";"CO2";"6722"
"33";"0.19790125";"30";"CO2";"6722"
"34";"0.205576366666667";"35";"CO2";"6722"
"35";"0.156884666666667";"40";"CO2";"6722"
"36";"0.12881825";"45";"CO2";"6722"
"37";"0.12881825";"50";"CO2";"6722"
"38";"0.124284533333333";"55";"CO2";"6722"
"39";"0.1236544";"60";"CO2";"6722"
"40";"0.123432";"65";"CO2";"6722"
"41";"0.119897925";"70";"CO2";"6722"
"42";"0.119897925";"75";"CO2";"6722"
"43";"0.11145715";"80";"CO2";"6722"
"44";"0.1273657";"85";"CO2";"6722"
"45";"0.150977166666667";"90";"CO2";"6722"
"46";"0.123309216666667";"95";"CO2";"6722"
"47";"0.152297666666667";"100";"CO2";"6722"
"48";"0.138490333333333";"105";"CO2";"6722"
"49";"0.1422387";"110";"CO2";"6722"
"50";"0.1422387";"115";"CO2";"6722"
"51";"0.11825425";"120";"CO2";"6722"
"52";"0.1534143";"125";"CO2";"6722"
"53";"0.253205875";"0";"O2";"6715"
"54";"0.242277";"5";"O2";"6715"
"55";"0.186905191666667";"10";"O2";"6715"
"56";"0.19060375";"15";"O2";"6715"
"57";"0.175142316666667";"20";"O2";"6715"
"58";"0.174982466666667";"25";"O2";"6715"
"59";"0.175248883333333";"30";"O2";"6715"
"60";"0.271193633333333";"35";"O2";"6715"
"61";"0.193659433333333";"40";"O2";"6715"
"62";"0.217755083333333";"45";"O2";"6715"
"63";"0.195702733333333";"50";"O2";"6715"
"64";"0.2566496";"55";"O2";"6715"
"65";"0.200102083333333";"60";"O2";"6715"
"66";"0.19859625";"65";"O2";"6715"
"67";"0.224438666666667";"70";"O2";"6715"
"68";"0.20522655";"75";"O2";"6715"
"69";"0.19894375";"80";"O2";"6715"
"70";"0.202922625";"85";"O2";"6715"
"71";"0.198480416666667";"90";"O2";"6715"
"72";"0.1927513";"95";"O2";"6715"
"73";"0.19036745";"100";"O2";"6715"
"74";"0.197133275";"105";"O2";"6715"
"75";"0.187660425";"110";"O2";"6715"
"76";"0.1891512";"115";"O2";"6715"
"77";"0.1889844";"120";"O2";"6715"
"78";"0.21010545";"125";"O2";"6715"
"79";"0.253205875";"0";"CO2";"6715"
"80";"0.242277";"5";"CO2";"6715"
"81";"0.186905191666667";"10";"CO2";"6715"
"82";"0.19060375";"15";"CO2";"6715"
"83";"0.1783509";"20";"CO2";"6715"
"84";"0.174982466666667";"25";"CO2";"6715"
"85";"0.175248883333333";"30";"CO2";"6715"
"86";"0.274803";"35";"CO2";"6715"
"87";"0.193659433333333";"40";"CO2";"6715"
"88";"0.220222333333333";"45";"CO2";"6715"
"89";"0.195702733333333";"50";"CO2";"6715"
"90";"0.2566496";"55";"CO2";"6715"
"91";"0.200102083333333";"60";"CO2";"6715"
"92";"0.19859625";"65";"CO2";"6715"
"93";"0.224438666666667";"70";"CO2";"6715"
"94";"0.204340425";"75";"CO2";"6715"
"95";"0.19894375";"80";"CO2";"6715"
"96";"0.202922625";"85";"CO2";"6715"
"97";"0.198480416666667";"90";"CO2";"6715"
"98";"0.19036745";"95";"CO2";"6715"
"99";"0.19036745";"100";"CO2";"6715"
"100";"0.197133275";"105";"CO2";"6715"
"101";"0.187660425";"110";"CO2";"6715"
"102";"0.1891512";"115";"CO2";"6715"
"103";"0.1889844";"120";"CO2";"6715"
"104";"0.21010545";"125";"CO2";"6715"
