timestep	day	time	daytime	7546	5052	7547	5053	7548	7540	7541
1	day_1	10:19	day	0.4367937890212171	0.37995213470236294	0.5711311653657906	0.46661608069740035	0.5330925788977704	0.3044594981427107	0.37710773505323314
2	day_1	10:34	day	0.595856471658899	0.49188199656855564	0.6813196712752005	0.5893385652404686	0.5839964270188536	0.29329953693389343	0.4777768772216549
3	day_1	10:49	day	0.6666421245564716	0.49443636228120946	0.6882693683902031	0.5664335826261317	0.5842514012737658	0.3583110627131395	0.5301956345634862
4	day_1	11:04	day	0.6042654939856077	0.5230801627734208	0.6519605913671948	0.5037830458670987	0.5284742069753066	0.34832608938207765	0.4899655376131027
5	day_1	11:19	day	0.5875313126604278	0.4929359859644711	0.7161328728167139	0.528992788939613	0.5613293227426982	0.4348460441256977	0.4989803686936674
6	day_1	11:34	day	0.5538168032133941	0.5385088613459106	0.6186391866592047	0.4710197083011878	0.5882198262634095	0.3878301826418187	0.45264405406644687
7	day_1	11:49	day	0.5758873546023346	0.4765566579565723	0.6744452985783638	0.44	0.5308725128725439	0.39070428721565464	0.486293564928536
8	day_1	12:04	day	0.5419878721838999	0.5038056999929823	0.710910236518465	0.4342687051562423	0.41364256120871046	0.3583601551647309	0.4275260619918035
9	day_1	12:19	day	0.5457726083306617	0.42514417680894984	0.6084399423887991	0.4373475383609935	0.4913521992004784	0.3362160554397927	0.4151393669239856
10	day_1	12:34	day	0.5546705819366872	0.4142420966176794	0.6300628786062469	0.43	0.46604873235369154	0.4039166801358273	0.37541090043330505
11	day_1	12:49	day	0.6220093775636678	0.37549035167712486	0.6023752524041646	0.4055053675903314	0.5201446444707913	0.36746752303226476	0.42015594154756
12	day_1	13:04	day	0.6075110487206832	0.44231764055977585	0.6324739688501735	0.39759317391560767	0.4805633269113119	0.3203942209473841	0.46662747944287253
13	day_1	13:19	day	0.5202649019240092	0.5014178869559115	0.601	0.39629210039754137	0.5048068629373341	0.36069259980648055	0.392033805817023
14	day_1	13:34	day	0.6453629939423545	0.432659983573591	0.5607414998801229	0.3883404901204419	0.44598582209479587	0.36137001131409496	0.3716067611634046
15	day_1	13:49	day	0.570924005423021	0.394747878742707	0.6345278685100801	0.39565053675903317	0.4442151802156139	0.351000834814941	0.36
16	day_1	14:04	day	0.5262697530504494	0.3846484193235359	0.5756625007414496	0.3613260679996678	0.4488880036062144	0.338	0.42931188309512
17	day_1	14:19	day	0.4968519452216714	0.3660447173897788	0.6043285462940763	0.3944191605053577	0.44524377578783925	0.30396760384722876	0.41530359578333276
18	day_1	14:34	day	0.5172228079152844	0.3654965101188909	0.5768240698118393	0.39742813362588264	0.511223639006373	0.3193634944244949	0.38902246182247757
19	day_1	14:49	day	0.5323566340035052	0.4879352333309941	0.5654524401644501	0.417	0.4871389253563463	0.26449523355524596	0.42816248531633755
