timestep	day	time	daytime	7555	7543	7557	5066	7558	5068
1	day_1	11:03	day	0.38948811018359414	0.5957810314083675	0.364436489215335	0.7322168952702146	0.3225313406071837	0.6497159887850789
2	day_1	11:18	day	0.4746545871766404	0.5736827220066159	0.37647851218047895	0.7529624883258061	0.46224495987780934	0.6142335503436537
3	day_1	11:33	day	0.3952944515432224	0.5730442032157478	0.47611484292331496	0.6733411394144075	0.40356049082533646	0.6313353390486736
4	day_1	11:48	day	0.5168278598144151	0.689135083369811	0.41982725927807846	0.6169022396396354	0.4003340603433274	0.5716805014827748
5	day_1	12:03	day	0.43005436049988466	0.5807810314083675	0.46479925160185886	0.5863166993243163	0.37794059968965465	0.5742437379142358
6	day_1	12:18	day	0.4281630805680651	0.5370219154726824	0.42968207279705656	0.5513170399399393	0.3964877387256364	0.624183817842695
7	day_1	12:33	day	0.42128539099411394	0.5095511050803937	0.34552287102711027	0.5676705697072038	0.357993191300592	0.5488440569807946
8	day_1	12:48	day	0.38398867547810034	0.5035511050803937	0.422872547896979	0.5822506601725568	0.3853302482203828	0.5218031681062897
9	day_1	13:03	day	0.4400996604506608	0.4631569988424934	0.3969267037048799	0.6198623436560813	0.3786926432353819	0.5212709971639059
10	day_1	13:18	day	0.4567429221738127	0.5663577045402239	0.3995163397195972	0.6432550881756542	0.381201907933282	0.5523549858195291
11	day_1	13:33	day	0.38344733910998907	0.5176204420321575	0.3903506066421379	0.580414459684681	0.34874087278635485	0.5093748839790502
12	day_1	13:48	day	0.4659739535996308	0.5053613571190043	0.3073660051386514	0.5674998296921885	0.33935558631559104	0.6376789061499811
13	day_1	14:03	day	0.4982061156144613	0.4916206902124128	0.36496124268861263	0.5457555990990886	0.3433302482203828	0.6150922167082574
14	day_1	14:18	day	0.3929784824768019	0.5797810314083675	0.40803267943919436	0.5523170399399393	0.40178692130734556	0.585220284903973
15	day_1	14:33	day	0.3898731597651913	0.5197007367202625	0.3662829118822617	0.5363170399399393	0.37719673032683637	0.5638167977311246
16	day_1	14:48	day	0.4039558325014138	0.4750949050032266	0.3800191404872192	0.5245487098723709	0.40272234339055457	0.5675965128271515
17	day_1	15:03	day	0.36813929814048707	0.49416058937621	0.3607012132842757	0.4918024355855336	0.35094059968965463	0.5423353390486736
18	day_1	15:18	day	0.3562808611853541	0.4502519658907838	0.3564295044725019	0.49409026681666146	0.3768975477451273	0.5449749516569434
19	day_1	15:33	day	0.4065503969172198	0.5776278092347821	0.3235443473958168	0.6068037980480251	0.3271343334400276	0.553642439088703
20	day_1	15:48	day	0.3961211779738588	0.5156496626624008	0.3164234266003088	0.5660729796546505	0.41210981089130055	0.5514826898300905
21	day_1	16:03	day	0.3613669312781465	0.46873373401941376	0.3835205351456229	0.5233411394144075	0.42602152597226367	0.546766085471192
22	day_1	16:18	day	0.4371823331868833	0.5521131678971286	0.4078996258009294	0.5130240994744683	0.361	0.5140507122599327
23	day_1	16:33	day	0.4191019253550407	0.4749161147781784	0.39219841251665377	0.5145969088213075	0.356	0.5185828832023166
24	day_1	16:48	day	0.3587044169361764	0.5397555254019685	0.3799267037048799	0.5604375373122806	0.36342316080884546	0.5131112479052933
