"";"HP";"Time";"Component";"Animal"
"1";"0.298344966666667";"0";"O2";"1"
"2";"0.258325708333333";"25";"O2";"1"
"3";"0.258358141666667";"50";"O2";"1"
"4";"0.251237866666667";"75";"O2";"1"
"5";"0.251237866666667";"100";"O2";"1"
"6";"0.253442175";"125";"O2";"1"
"7";"0.2745806";"150";"O2";"1"
"8";"0.235232016666667";"175";"O2";"1"
"9";"0.220806133333333";"200";"O2";"1"
"10";"0.26703985";"225";"O2";"1"
"11";"0.2980716";"250";"O2";"1"
"12";"0.232319966666667";"275";"O2";"1"
"13";"0.2952777";"300";"O2";"1"
"14";"0.307265291666667";"325";"O2";"1"
"15";"0.309049125";"350";"O2";"1"
"16";"0.319730116666667";"375";"O2";"1"
"17";"0.3171285";"400";"O2";"1"
"18";"0.277579525";"425";"O2";"1"
"19";"0.298344966666667";"0";"CO2";"1"
"20";"0.258325708333333";"25";"CO2";"1"
"21";"0.258358141666667";"50";"CO2";"1"
"22";"0.251237866666667";"75";"CO2";"1"
"23";"0.251237866666667";"100";"CO2";"1"
"24";"0.268148375";"125";"CO2";"1"
"25";"0.267019";"150";"CO2";"1"
"26";"0.235232016666667";"175";"CO2";"1"
"27";"0.220806133333333";"200";"CO2";"1"
"28";"0.2792927";"225";"CO2";"1"
"29";"0.243983225";"250";"CO2";"1"
"30";"0.232319966666667";"275";"CO2";"1"
"31";"0.357786";"300";"CO2";"1"
"32";"0.307265291666667";"325";"CO2";"1"
"33";"0.309049125";"350";"CO2";"1"
"34";"0.319730116666667";"375";"CO2";"1"
"35";"0.317533916666667";"400";"CO2";"1"
"36";"0.277579525";"425";"CO2";"1"
"37";"0.267826358333333";"0";"O2";"17"
"38";"0.252275733333333";"25";"O2";"17"
"39";"0.296760366666667";"50";"O2";"17"
"40";"0.314219925";"75";"O2";"17"
"41";"0.28462335";"100";"O2";"17"
"42";"0.306755625";"125";"O2";"17"
"43";"0.3050355";"150";"O2";"17"
"44";"0.325952683333333";"175";"O2";"17"
"45";"0.297351116666667";"200";"O2";"17"
"46";"0.29957975";"225";"O2";"17"
"47";"0.2896482";"250";"O2";"17"
"48";"0.298237241666667";"275";"O2";"17"
"49";"0.2640583";"300";"O2";"17"
"50";"0.2404005";"325";"O2";"17"
"51";"0.226399725";"350";"O2";"17"
"52";"0.2613061";"375";"O2";"17"
"53";"0.248311916666667";"400";"O2";"17"
"54";"0.267826358333333";"0";"CO2";"17"
"55";"0.300843491666667";"25";"CO2";"17"
"56";"0.296760366666667";"50";"CO2";"17"
"57";"0.321803533333333";"75";"CO2";"17"
"58";"0.3091777";"100";"CO2";"17"
"59";"0.307559508333333";"125";"CO2";"17"
"60";"0.3050355";"150";"CO2";"17"
"61";"0.297729891666667";"175";"CO2";"17"
"62";"0.297351116666667";"200";"CO2";"17"
"63";"0.29957975";"225";"CO2";"17"
"64";"0.308157208333333";"250";"CO2";"17"
"65";"0.298237241666667";"275";"CO2";"17"
"66";"0.28964125";"300";"CO2";"17"
"67";"0.2404005";"325";"CO2";"17"
"68";"0.226399725";"350";"CO2";"17"
"69";"0.2613061";"375";"CO2";"17"
"70";"0.248311916666667";"400";"CO2";"17"
"71";"0.2727041";"425";"CO2";"17"
"72";"0.32109";"0";"O2";"2"
"73";"0.32109";"25";"O2";"2"
"74";"0.357582133333333";"50";"O2";"2"
"75";"0.369877841666667";"75";"O2";"2"
"76";"0.324611333333333";"100";"O2";"2"
"77";"0.348782275";"125";"O2";"2"
"78";"0.336737925";"150";"O2";"2"
"79";"0.336737925";"175";"O2";"2"
"80";"0.27638065";"200";"O2";"2"
"81";"0.33481625";"225";"O2";"2"
"82";"0.280296975";"250";"O2";"2"
"83";"0.336399691666667";"275";"O2";"2"
"84";"0.31776095";"300";"O2";"2"
"85";"0.302322683333333";"325";"O2";"2"
"86";"0.301426133333333";"350";"O2";"2"
"87";"0.2951526";"375";"O2";"2"
"88";"0.275043933333333";"400";"O2";"2"
"89";"0.32109";"0";"CO2";"2"
"90";"0.32109";"25";"CO2";"2"
"91";"0.357582133333333";"50";"CO2";"2"
"92";"0.339668508333333";"75";"CO2";"2"
"93";"0.324611333333333";"100";"CO2";"2"
"94";"0.348782275";"125";"CO2";"2"
"95";"0.336737925";"150";"CO2";"2"
"96";"0.356053133333333";"175";"CO2";"2"
"97";"0.27638065";"200";"CO2";"2"
"98";"0.33481625";"225";"CO2";"2"
"99";"0.280296975";"250";"CO2";"2"
"100";"0.31830305";"275";"CO2";"2"
"101";"0.323227125";"300";"CO2";"2"
"102";"0.305475666666667";"325";"CO2";"2"
"103";"0.301426133333333";"350";"CO2";"2"
"104";"0.2619177";"375";"CO2";"2"
"105";"0.275043933333333";"400";"CO2";"2"
"106";"0.333130875";"425";"CO2";"2"
"107";"0.3235086";"0";"O2";"18"
"108";"0.293579583333333";"25";"O2";"18"
"109";"0.2891478";"50";"O2";"18"
"110";"0.2711056";"75";"O2";"18"
"111";"0.321553333333333";"100";"O2";"18"
"112";"0.3543249";"125";"O2";"18"
"113";"0.323039475";"150";"O2";"18"
"114";"0.30317985";"175";"O2";"18"
"115";"0.2672831";"200";"O2";"18"
"116";"0.247911133333333";"225";"O2";"18"
"117";"0.2714253";"250";"O2";"18"
"118";"0.271025675";"275";"O2";"18"
"119";"0.278218925";"300";"O2";"18"
"120";"0.2447512";"325";"O2";"18"
"121";"0.269378525";"350";"O2";"18"
"122";"0.278683416666667";"375";"O2";"18"
"123";"0.260996825";"400";"O2";"18"
"124";"0.289612291666667";"425";"O2";"18"
"125";"0.334811616666667";"0";"CO2";"18"
"126";"0.293579583333333";"25";"CO2";"18"
"127";"0.2891478";"50";"CO2";"18"
"128";"0.2711056";"75";"CO2";"18"
"129";"0.31600955";"100";"CO2";"18"
"130";"0.398489833333333";"125";"CO2";"18"
"131";"0.323039475";"150";"CO2";"18"
"132";"0.303715";"175";"CO2";"18"
"133";"0.2672831";"200";"CO2";"18"
"134";"0.247911133333333";"225";"CO2";"18"
"135";"0.2714253";"250";"CO2";"18"
"136";"0.271025675";"275";"CO2";"18"
"137";"0.278218925";"300";"CO2";"18"
"138";"0.2723844";"325";"CO2";"18"
"139";"0.271745";"350";"CO2";"18"
"140";"0.276250916666667";"375";"CO2";"18"
"141";"0.260996825";"400";"CO2";"18"
"142";"0.289612291666667";"425";"CO2";"18"
"143";"0.253657625";"0";"O2";"19"
"144";"0.24582845";"25";"O2";"19"
"145";"0.250377225";"50";"O2";"19"
"146";"0.26168835";"75";"O2";"19"
"147";"0.2672553";"100";"O2";"19"
"148";"0.23319335";"125";"O2";"19"
"149";"0.237829";"150";"O2";"19"
"150";"0.258024541666667";"175";"O2";"19"
"151";"0.2539808";"200";"O2";"19"
"152";"0.253239466666667";"225";"O2";"19"
"153";"0.253610133333333";"250";"O2";"19"
"154";"0.2696183";"275";"O2";"19"
"155";"0.242287425";"300";"O2";"19"
"156";"0.249347466666667";"325";"O2";"19"
"157";"0.241582";"350";"O2";"19"
"158";"0.24122755";"375";"O2";"19"
"159";"0.236161";"400";"O2";"19"
"160";"0.253657625";"0";"CO2";"19"
"161";"0.24582845";"25";"CO2";"19"
"162";"0.250377225";"50";"CO2";"19"
"163";"0.26168835";"75";"CO2";"19"
"164";"0.2672553";"100";"CO2";"19"
"165";"0.23319335";"125";"CO2";"19"
"166";"0.237829";"150";"CO2";"19"
"167";"0.258024541666667";"175";"CO2";"19"
"168";"0.2539808";"200";"CO2";"19"
"169";"0.2579423";"225";"CO2";"19"
"170";"0.253610133333333";"250";"CO2";"19"
"171";"0.2696183";"275";"CO2";"19"
"172";"0.242287425";"300";"CO2";"19"
"173";"0.256970458333333";"325";"CO2";"19"
"174";"0.241582";"350";"CO2";"19"
"175";"0.24122755";"375";"CO2";"19"
"176";"0.236161";"400";"CO2";"19"
"177";"0.269697066666667";"0";"O2";"3"
"178";"0.265498108333333";"25";"O2";"3"
"179";"0.238524";"50";"O2";"3"
