"";"HP";"Time";"Component";"Animal"
"1";"122.60686125";"0";"O2";"847"
"2";"129.1327375";"10";"O2";"847"
"3";"127.469544583333";"20";"O2";"847"
"4";"127.469544583333";"30";"O2";"847"
"5";"151.80207375";"40";"O2";"847"
"6";"0.444985333333333";"50";"O2";"847"
"7";"0.444985333333333";"60";"O2";"847"
"8";"0.3842655";"70";"O2";"847"
"9";"79.3341920833333";"80";"O2";"847"
"10";"98.2941975";"90";"O2";"847"
"11";"0.394261916666667";"100";"O2";"847"
"12";"133.03637875";"110";"O2";"847"
"13";"0.602935666666667";"120";"O2";"847"
"14";"129.33967375";"130";"O2";"847"
"15";"120.19277875";"140";"O2";"847"
"16";"159.89083125";"150";"O2";"847"
"17";"157.225622083333";"160";"O2";"847"
"18";"115.125765416667";"170";"O2";"847"
"19";"138.914399166667";"180";"O2";"847"
"20";"110.993353333333";"190";"O2";"847"
"21";"0.3691145";"200";"O2";"847"
"22";"93.8084358333333";"210";"O2";"847"
"23";"93.8084358333333";"220";"O2";"847"
"24";"100.51837125";"230";"O2";"847"
"25";"0.410420666666667";"240";"O2";"847"
"26";"150.268614166667";"250";"O2";"847"
"27";"145.877025";"260";"O2";"847"
"28";"138.8377175";"270";"O2";"847"
"29";"122.5434425";"280";"O2";"847"
"30";"0.54581825";"290";"O2";"847"
"31";"127.6405725";"300";"O2";"847"
"32";"133.5717025";"310";"O2";"847"
"33";"141.16857375";"320";"O2";"847"
"34";"141.16857375";"330";"O2";"847"
"35";"140.37071375";"340";"O2";"847"
"36";"119.62218375";"350";"O2";"847"
"37";"122.6782725";"360";"O2";"847"
"38";"126.553013333333";"370";"O2";"847"
"39";"142.741937916667";"380";"O2";"847"
"40";"142.741937916667";"390";"O2";"847"
"41";"131.496490416667";"400";"O2";"847"
"42";"95.5929641666667";"410";"O2";"847"
"43";"95.5929641666667";"420";"O2";"847"
"44";"124.766168333333";"430";"O2";"847"
"45";"0.53796475";"440";"O2";"847"
"46";"126.2735075";"450";"O2";"847"
"47";"129.947740833333";"460";"O2";"847"
"48";"129.947740833333";"470";"O2";"847"
"49";"166.162685";"480";"O2";"847"
"50";"0.44758";"490";"O2";"847"
"51";"0.45129825";"500";"O2";"847"
"52";"138.32150625";"510";"O2";"847"
"53";"83.7289666666667";"520";"O2";"847"
"54";"125.901798333333";"530";"O2";"847"
"55";"94.58116";"540";"O2";"847"
"56";"146.0309675";"550";"O2";"847"
"57";"131.65054875";"560";"O2";"847"
"58";"0.348195";"570";"O2";"847"
"59";"0.348195";"580";"O2";"847"
"60";"0.508045";"590";"O2";"847"
"61";"101.7733675";"600";"O2";"847"
"62";"139.673570833333";"610";"O2";"847"
"63";"135.502007083333";"620";"O2";"847"
"64";"0.523080166666667";"630";"O2";"847"
"65";"131.94696625";"640";"O2";"847"
"66";"110.214953333333";"650";"O2";"847"
"67";"137.53963125";"660";"O2";"847"
"68";"110.031705";"670";"O2";"847"
"69";"0.516500833333333";"680";"O2";"847"
"70";"103.5643825";"690";"O2";"847"
"71";"111.93096625";"700";"O2";"847"
"72";"111.808067083333";"710";"O2";"847"
"73";"0.5410575";"720";"O2";"847"
"74";"119.20101375";"730";"O2";"847"
"75";"99.25694625";"740";"O2";"847"
"76";"121.32771375";"750";"O2";"847"
"77";"117.86922";"760";"O2";"847"
"78";"132.954195";"770";"O2";"847"
"79";"123.78645";"780";"O2";"847"
"80";"122.62215125";"790";"O2";"847"
"81";"133.009157916667";"800";"O2";"847"
"82";"101.58676";"810";"O2";"847"
"83";"118.988401666667";"820";"O2";"847"
"84";"105.122862083333";"830";"O2";"847"
"85";"84.6040875";"840";"O2";"847"
"86";"0.480743083333333";"850";"O2";"847"
"87";"108.41947875";"860";"O2";"847"
"88";"121.14545";"870";"O2";"847"
"89";"0.48299025";"880";"O2";"847"
"90";"132.266782083333";"890";"O2";"847"
"91";"130.392135416667";"900";"O2";"847"
"92";"122.60686125";"0";"CO2";"847"
"93";"129.1327375";"10";"CO2";"847"
