20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
546;30401338;26.2;Adipoq WT;male;Individual;
552;30296991;21.0;Adipoq WT;female;Individual;
551;30398600;22.8;Adipoq WT;female;Individual;
549;30262145;31.0;Adipoq WT;male;Individual;
550;30400692;20.9;Adipoq WT;female;Individual;
547;30302237;20.7;Adipoq WT;female;Individual;
548;30334547;29.7;Adipoq WT;male;Individual;
5;39;31.16;Adipoq KO;male;Individual;
2;24;29.88;Adipoq KO;male;Individual;
13;43;30.44;Adipoq KO;male;Individual;
0;38;33.51;Adipoq KO;male;Individual;
7;23;32.65;Adipoq KO;male;Individual;
1;42;30.04;Adipoq KO;male;Individual;
3;37;32.77;Adipoq KO;male;Individual;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
03/10/2015;08:49;38;male;69,34962;66,81452;33,51
03/10/2015;15:07;42;male;113,36082;114,12012;30,04
03/10/2015;18:51;24;male;66,6272;59,84882;29,88
04/10/2015;05:45;37;male;79,876595;76,16466;32,77
04/10/2015;13:07;37;male;75,0048;68,605934;32,77
03/10/2015;00:21;39;male;76,364426;62,9749;31,16
03/10/2015;21:41;24;male;77,85424;70,81409;29,88
04/10/2015;05:01;23;male;63,83503;66,36404;32,65
03/10/2015;20:11;39;male;85,937386;82,42536;31,16
04/10/2015;03:01;42;male;107,50038;104,49731;30,04
03/10/2015;14:19;24;male;85,29847;74,09238;29,88
03/10/2015;12:11;37;male;88,75719;79,90687;32,77
03/10/2015;02:59;24;male;115,61935;104,80191;29,88
04/10/2015;14:23;43;male;111,676865;102,03414;30,44
04/10/2015;00:07;38;male;69,11538;69,18999;33,51
04/10/2015;09:45;38;male;88,27722;83,31783;33,51
03/10/2015;21:23;43;male;79,60782;64,75257;30,44
03/10/2015;04:49;37;male;136,41591;126,89639;32,77
02/10/2015;22:09;43;male;74,34342;66,36975;30,44
04/10/2015;03:35;42;male;113,77244;112,057106;30,04
03/10/2015;13:55;38;male;73,05428;66,51997;33,51
04/10/2015;05:19;43;male;139,05519;138,26297;30,44
02/10/2015;20:57;39;male;83,006615;75,287;31,16
04/10/2015;15:57;37;male;92,36167;78,51265;32,77
03/10/2015;11:05;38;male;96,13106;95,67335;33,51
02/10/2015;22:59;23;male;58,4976;53,711136;32,65
03/10/2015;18:31;42;male;107,25434;109,00743;30,04
04/10/2015;11:25;37;male;107,97316;95,90327;32,77
03/10/2015;13:11;24;male;99,38676;95,04687;29,88
02/10/2015;22:41;42;male;90,778046;80,95366;30,04
04/10/2015;08:25;23;male;63,812286;61,938335;32,65
04/10/2015;02:57;38;male;82,95335;80,46558;33,51
