20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
1182;30296991;21.0;Ucp1 WT;female;Individual;
1185;30385951;20.1;Ucp1 WT;female;Individual;
1187;30402755;26.1;Ucp1 WT;female;Individual;
1181;30398600;22.8;Ucp1 WT;female;Individual;
1177;30302237;20.7;Ucp1 WT;female;Individual;
1186;30373521;21.7;Ucp1 WT;female;Individual;
1176;30401338;26.2;Ucp1 WT;male;Individual;
1179;30262145;31.0;Ucp1 WT;male;Individual;
1184;30377408;22.4;Ucp1 WT;female;Individual;
1188;30254324;20.3;Ucp1 WT;female;Individual;
1189;30283760;23.9;Ucp1 WT;male;Individual;
1183;30310817;29.2;Ucp1 WT;male;Individual;
1178;30334547;29.7;Ucp1 WT;male;Individual;
1180;30400692;20.9;Ucp1 WT;female;Individual;
16;30300781;23.3;Ucp1 KO;female;Individual;
2;30327907;26.2;Ucp1 KO;male;Individual;
21;30314498;30.9;Ucp1 KO;male;Individual;
15;30332480;28.7;Ucp1 KO;male;Individual;
1;30300774;21.5;Ucp1 KO;female;Individual;
36;30332401;25.4;Ucp1 KO;female;Individual;
9;30314512;26.3;Ucp1 KO;female;Individual;
5;30314490;27.9;Ucp1 KO;male;Individual;
18;30300775;24.0;Ucp1 KO;female;Individual;
0;30322409;22.7;Ucp1 KO;female;Individual;
6;30327906;27.0;Ucp1 KO;male;Individual;
35;30300777;27.5;Ucp1 KO;male;Individual;
3;30332406;32.4;Ucp1 KO;male;Individual;
8;30332410;26.8;Ucp1 KO;female;Individual;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
26/01/2015;12:15;30322409;female;95,0;95,0;22,7
17/06/2014;18:16;30300774;female;56,0;56,0;21,5
23/03/2015;14:00;30327907;male;62,0;62,0;26,2
20/05/2015;00:15;30332406;male;62,0;62,0;32,4
23/03/2015;16:00;30327907;male;54,0;54,0;26,2
04/11/2014;04:30;30314490;male;90,0;90,0;27,9
23/03/2015;22:00;30327906;male;95,0;95,0;27,0
20/05/2015;04:00;30332406;male;67,0;67,0;32,4
19/05/2015;23:00;30332410;female;86,0;86,0;26,8
04/11/2014;00:30;30314512;female;65,0;65,0;26,3
04/11/2014;06:15;30314490;male;59,0;59,0;27,9
03/11/2014;23:30;30314512;female;99,0;99,0;26,3
04/11/2014;06:30;30314512;female;64,0;64,0;26,3
03/11/2014;16:30;30314512;female;66,0;66,0;26,3
23/03/2015;22:30;30327907;male;117,0;117,0;26,2
19/05/2015;16:30;30332480;male;96,0;96,0;28,7
17/06/2014;20:16;30300781;female;73,0;73,0;23,3
19/05/2015;15:00;30332480;male;87,0;87,0;28,7
