20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
0;1;26.036911281489598;Ucp1 WT;male;Mean;
84;2;28.65714285714285;Ucp1 KO;male;Mean;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
01/01/2000;12:00;1;male;103,92004381161009;84,66155531215772;26,036911281489598
01/01/2000;12:10;1;male;99,65060240963857;81,40306681270536;26,036911281489598
01/01/2000;12:30;1;male;96,99671412924424;79,4841182913472;26,036911281489598
01/01/2000;12:40;1;male;94,4895947426068;77,52573932092004;26,036911281489598
01/01/2000;13:00;1;male;91,92755214050494;75,69593852908892;26,03962678375412
01/01/2000;13:10;1;male;89,55104281009879;73,63227222832053;26,03962678375412
01/01/2000;13:30;1;male;88,44456641053787;72,86278814489572;26,03962678375412
01/01/2000;13:40;1;male;86,42387732749178;71,27601314348303;26,036911281489598
01/01/2000;14:00;1;male;84,42387732749178;69,75355969331873;26,036911281489598
01/01/2000;14:10;1;male;82,98904709748084;68,34939759036145;26,036911281489598
01/01/2000;14:30;1;male;82,28148959474261;67,72836801752464;26,036911281489598
01/01/2000;14:40;1;male;81,3143483023001;67,09857612267251;26,036911281489598
01/01/2000;15:00;1;male;79,7907995618839;65,82256297918948;26,036911281489598
01/01/2000;15:10;1;male;79,72179627601314;65,76670317634174;26,036911281489598
01/01/2000;15:30;1;male;80,29791894852136;66,31106243154436;26,036911281489598
01/01/2000;15:40;1;male;79,71522453450164;66,00328587075575;26,036911281489598
01/01/2000;16:00;1;male;79,76560788608981;66,04052573932093;26,036911281489598
01/01/2000;16:10;1;male;80,29682365826945;66,34830230010952;26,036911281489598
01/01/2000;16:30;1;male;81,74370208105148;67,74479737130339;26,036911281489598
01/01/2000;16:40;1;male;83,76889375684556;69,82913472070099;26,036911281489598
01/01/2000;17:00;1;male;95,70208105147864;80,75903614457832;26,036911281489598
01/01/2000;17:10;1;male;100,88828039430447;85,84227820372399;26,036911281489598
01/01/2000;17:30;1;male;102,08324205914568;87,38663745892661;26,036911281489598
01/01/2000;17:40;1;male;101,60679079956188;87,52683461117196;26,036911281489598
01/01/2000;18:00;1;male;101,00547645125958;87,20153340635268;26,036911281489598
01/01/2000;18:10;1;male;100,22562979189485;86,87732749178532;26,036911281489598
01/01/2000;18:30;1;male;99,55750273822564;86,72289156626506;26,036911281489598
01/01/2000;18:40;1;male;100,27820372398686;87,75903614457832;26,036911281489598
01/01/2000;19:00;1;male;99,40416210295729;87,55202628696604;26,036911281489598
01/01/2000;19:10;1;male;99,8050383351588;88,2880613362541;26,036911281489598
01/01/2000;19:30;1;male;99,46111719605696;88,49616648411829;26,036911281489598
