"";"Datetime";"Animal No._NA";"Box_NA";"S.Flow_[l/min]";"Ref.O2_[%]";"Ref.CO2_[%]";"Ref.TD_[°C]";"Flow_[l/min]";"O2_[%]";"CO2_[%]";"VO2(3)_[ml/h]";"VCO2(3)_[ml/h]";"RER_NA";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2"
"1";"21/09/2021 11:20";6247;2;0,55;20,75;0,063;-138,6;0,7;20,45;0,32;132;108;0,818;2021-09-21 11:20:00;11;20;1;0;0;0;0;0,166666666666667;0,166666666666667;2,15533826;0,741552768
"2";"21/09/2021 11:20";6248;3;0,55;20,75;0,063;-138,6;0,71;20,52;0,248;103;79;0,768;2021-09-21 11:20:00;11;20;1;0;0;0;0;0,166666666666667;0,166666666666667;1,68240976;0,570045672
"3";"21/09/2021 11:20";6249;4;0,55;20,75;0,063;-138,6;0,7;20,44;0,318;139;107;0,769;2021-09-21 11:20:00;11;20;1;0;0;0;0;0,166666666666667;0,166666666666667;2,26921433;0,769516788
"4";"21/09/2021 11:20";6250;5;0,55;20,75;0,063;-138,6;0,7;20,4;0,35;156;121;0,776;2021-09-21 11:20:00;11;20;1;0;0;0;0;0,166666666666667;0,166666666666667;2,54634632;0,865451808
"5";"21/09/2021 11:20";6256;6;0,55;20,75;0,063;-138,6;0,7;20,49;0,274;116;89;0,769;2021-09-21 11:20:00;11;20;1;0;0;0;0;0,166666666666667;0,166666666666667;1,89431433;0,642186672
"6";"21/09/2021 11:27";6247;2;0,55;20,75;0,063;-138,597;0,7;20,47;0,292;118;96;0,812;2021-09-21 11:27:00;11;27;2;420;420;0,1;0;0,333333333333333;0,333333333333333;1,92711084;0,661722288
"7";"21/09/2021 11:27";6248;3;0,55;20,75;0,063;-138,597;0,72;20,49;0,273;113;91;0,805;2021-09-21 11:27:00;11;27;2;420;420;0,1;0;0,333333333333333;0,333333333333333;1,84557885;0,63236382
"8";"21/09/2021 11:27";6249;4;0,55;20,75;0,063;-138,597;0,7;20,45;0,305;129;101;0,789;2021-09-21 11:27:00;11;27;2;420;420;0,1;0;0,333333333333333;0,333333333333333;2,10630573;0,718459308
"9";"21/09/2021 11:27";6250;5;0,55;20,75;0,063;-138,597;0,7;20,43;0,326;139;111;0,8;2021-09-21 11:27:00;11;27;2;420;420;0,1;0;0,333333333333333;0,333333333333333;2,269356;0,7767042
"10";"21/09/2021 11:27";6256;6;0,55;20,75;0,063;-138,597;0,7;20,46;0,299;123;99;0,804;2021-09-21 11:27:00;11;27;2;420;420;0,1;0;0,333333333333333;0,333333333333333;2,00857428;0,688120056
"11";"21/09/2021 11:34";6247;2;0,55;20,75;0,06;-138,596;0,7;20,47;0,295;124;99;0,8;2021-09-21 11:34:00;11;34;3;420;840;0,2;0;0,5;0,5;2,024856;0,6928872
"12";"21/09/2021 11:34";6248;3;0,55;20,75;0,06;-138,596;0,7;20,45;0,311;131;106;0,806;2021-09-21 11:34:00;11;34;3;420;840;0,2;0;0,5;0,5;2,13898342;0,733312848
"13";"21/09/2021 11:34";6249;4;0,55;20,75;0,06;-138,596;0,7;20,43;0,318;137;108;0,791;2021-09-21 11:34:00;11;34;3;420;840;0,2;0;0,5;0,5;2,23671487;0,763471956
"14";"21/09/2021 11:34";6250;5;0,55;20,75;0,06;-138,596;0,7;20,41;0,344;149;119;0,798;2021-09-21 11:34:00;11;34;3;420;840;0,2;0;0,5;0,5;2,43234686;0,832085136
"15";"21/09/2021 11:34";6256;6;0,55;20,75;0,06;-138,596;0,7;20,45;0,307;128;104;0,813;2021-09-21 11:34:00;11;34;3;420;840;0,2;0;0,5;0,5;2,09011541;0,718013952
