"";"Animal";"Component";"Value";"cgroups"
"1";"6833";"CO2";0,338795125;"6833"
"2";"6833";"CO2";0,338795125;"6833"
"3";"6833";"CO2";0,338795125;"6833"
"4";"6833";"CO2";0,338795125;"6833"
"5";"6833";"CO2";0,338795125;"6833"
"6";"6833";"CO2";0,338795125;"6833"
"7";"6833";"CO2";0,338795125;"6833"
"8";"6833";"CO2";0,338795125;"6833"
"9";"6833";"CO2";0,338795125;"6833"
"10";"6833";"CO2";0,338795125;"6833"
"11";"6833";"CO2";0,338795125;"6833"
"12";"6833";"CO2";0,338795125;"6833"
"13";"6833";"CO2";0,338795125;"6833"
"14";"6833";"CO2";0,338795125;"6833"
"15";"6833";"CO2";0,338795125;"6833"
"16";"6833";"CO2";0,338795125;"6833"
"17";"6833";"CO2";0,338795125;"6833"
"18";"6833";"CO2";0,338795125;"6833"
"19";"6833";"CO2";0,338795125;"6833"
"20";"6833";"CO2";0,338795125;"6833"
"21";"6833";"CO2";0,338795125;"6833"
"22";"6833";"CO2";0,338795125;"6833"
"23";"6833";"CO2";0,338795125;"6833"
"24";"6833";"CO2";0,338795125;"6833"
"25";"6833";"CO2";0,338795125;"6833"
"26";"6833";"CO2";0,338795125;"6833"
"27";"6833";"CO2";0,338795125;"6833"
"28";"6833";"CO2";0,338795125;"6833"
"29";"6833";"CO2";0,338795125;"6833"
"30";"6833";"CO2";0,338795125;"6833"
"31";"6833";"CO2";0,338795125;"6833"
"32";"6833";"CO2";0,338795125;"6833"
"33";"6833";"CO2";0,338795125;"6833"
"34";"6833";"CO2";0,338795125;"6833"
"35";"6833";"CO2";0,338795125;"6833"
"36";"6833";"CO2";0,338795125;"6833"
"37";"6833";"CO2";0,338795125;"6833"
"38";"6833";"CO2";0,338795125;"6833"
"39";"6833";"CO2";0,338795125;"6833"
"40";"6833";"CO2";0,338795125;"6833"
"41";"6833";"CO2";0,338795125;"6833"
"42";"6833";"CO2";0,338795125;"6833"
"43";"6833";"CO2";0,338795125;"6833"
"44";"6833";"CO2";0,338795125;"6833"
"45";"6833";"CO2";0,338795125;"6833"
"46";"6833";"CO2";0,338795125;"6833"
"47";"6833";"CO2";0,338795125;"6833"
"48";"6833";"CO2";0,338795125;"6833"
"49";"6833";"CO2";0,338795125;"6833"
"50";"6833";"CO2";0,338795125;"6833"
"51";"6833";"CO2";0,338795125;"6833"
"52";"6833";"CO2";0,338795125;"6833"
"53";"6833";"CO2";0,338795125;"6833"
"54";"6833";"CO2";0,338795125;"6833"
"55";"6833";"CO2";0,338795125;"6833"
"56";"6833";"CO2";0,338795125;"6833"
"57";"6833";"CO2";0,338795125;"6833"
"58";"6833";"CO2";0,338795125;"6833"
"59";"6833";"CO2";0,338795125;"6833"
"60";"6833";"CO2";0,338795125;"6833"
"61";"6833";"CO2";0,338795125;"6833"
"62";"6833";"CO2";0,338795125;"6833"
"63";"6833";"CO2";0,338795125;"6833"
"64";"6833";"CO2";0,338795125;"6833"
"65";"6833";"CO2";0,338795125;"6833"
"66";"6833";"CO2";0,338795125;"6833"
"67";"6833";"CO2";0,338795125;"6833"
"68";"6833";"CO2";0,338795125;"6833"
"69";"6833";"CO2";0,338795125;"6833"
"70";"6833";"CO2";0,338795125;"6833"
"71";"6833";"CO2";0,338795125;"6833"
"72";"6833";"CO2";0,338795125;"6833"
"73";"6833";"CO2";0,338795125;"6833"
"74";"6833";"CO2";0,338795125;"6833"
"75";"6833";"CO2";0,338795125;"6833"
"76";"6833";"CO2";0,338795125;"6833"
"77";"6833";"CO2";0,338795125;"6833"
"78";"6833";"CO2";0,338795125;"6833"
"79";"6833";"CO2";0,338795125;"6833"
"80";"6833";"CO2";0,338795125;"6833"
"81";"6833";"CO2";0,338795125;"6833"
"82";"6833";"CO2";0,338795125;"6833"
"83";"6833";"CO2";0,338795125;"6833"
"84";"6833";"CO2";0,338795125;"6833"
"85";"6833";"CO2";0,338795125;"6833"
"86";"6833";"CO2";0,338795125;"6833"
"87";"6833";"CO2";0,338795125;"6833"
"88";"6833";"CO2";0,338795125;"6833"
"89";"6833";"CO2";0,338795125;"6833"
"90";"6833";"CO2";0,338795125;"6833"
"91";"6833";"CO2";0,338795125;"6833"
"92";"6833";"CO2";0,338795125;"6833"
"93";"6833";"CO2";0,338795125;"6833"
"94";"6833";"CO2";0,338795125;"6833"
"95";"6833";"CO2";0,338795125;"6833"
"96";"6833";"CO2";0,338795125;"6833"
"97";"6833";"CO2";0,338795125;"6833"
"98";"6833";"CO2";0,338795125;"6833"
