"";"Animals";"Days";"TEE";"Equation"
"1";"6833";"8";12,360010104;"HP"
"2";"6834";"8";12,818619476;"HP"
"3";"6835";"8";13,489382046;"HP"
"4";"6836";"8";11,989607352;"HP"
"5";"6837";"8";12,68300357;"HP"
"6";"6838";"8";12,961973512;"HP"
"7";"6833";"9";20,621398376;"HP"
"8";"6834";"9";20,709476282;"HP"
"9";"6835";"9";23,767228028;"HP"
"10";"6836";"9";20,743798718;"HP"
"11";"6837";"9";21,641890228;"HP"
"12";"6838";"9";22,131979486;"HP"
"13";"6833";"10";20,561983938;"HP"
"14";"6834";"10";20,200113284;"HP"
"15";"6835";"10";23,362448908;"HP"
"16";"6836";"10";19,663557994;"HP"
"17";"6837";"10";21,072935706;"HP"
"18";"6838";"10";21,685155924;"HP"
"19";"6833";"11";20,945284222;"HP"
"20";"6834";"11";19,01336659;"HP"
"21";"6835";"11";22,190681688;"HP"
"22";"6836";"11";19,735077942;"HP"
"23";"6837";"11";20,31681407;"HP"
"24";"6838";"11";21,584004234;"HP"
"25";"6833";"12";8,777997062;"HP"
"26";"6834";"12";8,188761328;"HP"
"27";"6835";"12";9,268380444;"HP"
"28";"6836";"12";9,088877512;"HP"
"29";"6837";"12";8,699819292;"HP"
"30";"6838";"12";9,069183714;"HP"
"31";"6833";"8";12,30362679;"HP2"
"32";"6834";"8";12,7614693433333;"HP2"
"33";"6835";"8";13,455151835;"HP2"
"34";"6836";"8";11,94917752;"HP2"
"35";"6837";"8";12,6379301583333;"HP2"
"36";"6838";"8";12,9094962866667;"HP2"
"37";"6833";"9";20,5335005933333;"HP2"
"38";"6834";"9";20,6280550283333;"HP2"
"39";"6835";"9";23,6969106133333;"HP2"
"40";"6836";"9";20,7020483883333;"HP2"
"41";"6837";"9";21,5776626966667;"HP2"
"42";"6838";"9";22,0578646516667;"HP2"
"43";"6833";"10";20,461932755;"HP2"
"44";"6834";"10";20,1232621733333;"HP2"
"45";"6835";"10";23,2706699966667;"HP2"
"46";"6836";"10";19,6372124816667;"HP2"
"47";"6837";"10";21,036989935;"HP2"
"48";"6838";"10";21,63591499;"HP2"
"49";"6833";"11";20,8368290116667;"HP2"
"50";"6834";"11";18,9283679416667;"HP2"
"51";"6835";"11";22,09165963;"HP2"
"52";"6836";"11";19,710959045;"HP2"
"53";"6837";"11";20,2895686583333;"HP2"
"54";"6838";"11";21,548931715;"HP2"
"55";"6833";"12";8,73095982833333;"HP2"
"56";"6834";"12";8,15002044666667;"HP2"
"57";"6835";"12";9,23164819;"HP2"
"58";"6836";"12";9,07590628666667;"HP2"
"59";"6837";"12";8,68827092;"HP2"
"60";"6838";"12";9,059683765;"HP2"
