"";"Animal No._NA";"VO2(3)_[ml/h]";"VCO2(3)_[ml/h]";"RER_NA";"Datetime";"LightC_[%]";"Box_NA"
"1";224;104;75;0,72;"01/03/2023 10:06";99;1
"2";224;112;81;0,723;"01/03/2023 10:21";99;1
"3";224;116;90;0,772;"01/03/2023 10:36";99;1
"4";224;116;91;0,789;"01/03/2023 10:51";99;1
"5";224;128;102;0,798;"01/03/2023 11:06";99;1
"6";224;120;97;0,815;"01/03/2023 11:21";99;1
"7";224;113;87;0,77;"01/03/2023 11:36";99;1
"8";224;124;98;0,79;"01/03/2023 11:51";99;1
"9";224;121;94;0,78;"01/03/2023 12:06";99;1
"10";224;120;97;0,806;"01/03/2023 12:21";99;1
"11";224;110;88;0,805;"01/03/2023 12:36";99;1
"12";224;113;91;0,804;"01/03/2023 12:51";99;1
"13";224;102;83;0,813;"01/03/2023 13:06";99;1
"14";224;115;94;0,822;"01/03/2023 13:21";99;1
"15";224;102;83;0,813;"01/03/2023 13:36";99;1
"16";224;99;72;0,732;"01/03/2023 13:51";99;1
"17";224;68;58;0,843;"01/03/2023 14:21";99;1
"18";224;66;56;0,845;"01/03/2023 14:36";99;1
"19";224;66;54;0,815;"01/03/2023 14:51";99;1
"20";224;66;55;0,837;"01/03/2023 15:06";99;1
"21";224;66;55;0,84;"01/03/2023 15:21";99;1
"22";224;61;51;0,829;"01/03/2023 15:36";99;1
"23";224;61;50;0,821;"01/03/2023 15:51";99;1
"24";224;84;69;0,816;"01/03/2023 16:06";99;1
"25";224;79;66;0,836;"01/03/2023 16:21";99;1
"26";224;69;57;0,826;"01/03/2023 16:36";99;1
"27";224;67;53;0,796;"01/03/2023 16:51";99;1
"28";224;67;53;0,792;"01/03/2023 17:06";99;1
"29";224;66;54;0,808;"01/03/2023 17:21";99;1
"30";224;74;61;0,82;"01/03/2023 17:36";99;1
"31";224;78;68;0,868;"01/03/2023 17:51";99;1
"32";224;73;65;0,889;"01/03/2023 18:06";0;1
"33";224;66;57;0,858;"01/03/2023 18:36";0;1
"34";224;65;57;0,869;"01/03/2023 18:51";0;1
"35";224;85;77;0,908;"01/03/2023 19:06";0;1
"36";224;112;104;0,926;"01/03/2023 19:21";0;1
"37";224;109;105;0,966;"01/03/2023 19:36";0;1
"38";224;113;112;0,99;"01/03/2023 19:51";0;1
"39";224;101;100;0,995;"01/03/2023 20:06";0;1
"40";224;113;112;0,985;"01/03/2023 20:21";0;1
"41";224;101;99;0,986;"01/03/2023 20:36";0;1
"42";224;101;101;0,998;"01/03/2023 20:51";0;1
"43";224;76;77;1,02;"01/03/2023 21:06";0;1
"44";224;70;66;0,949;"01/03/2023 21:21";0;1
"45";224;65;60;0,933;"01/03/2023 21:36";0;1
"46";224;90;84;0,936;"01/03/2023 21:51";0;1
"47";224;89;86;0,963;"01/03/2023 22:06";0;1
"48";224;77;74;0,972;"01/03/2023 22:21";0;1
