20200508_SD_Ucpdd_K1;Test;TX001;TX002;TX003;;;;;;;;;;;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;;;;;;;;;;;;
Box;Animal No.;Weight [g];Diet;Genotype;Text3;;;;;;;;;;;;
4;2265;26.81;HFD;KO;Text3-4;;;;;;;;;;;;
5;2195;34.98;HFD;WT;Text3-5;;;;;;;;;;;;
7;2262;37.68;HFD;WT;Text3-7;;;;;;;;;;;;
8;2263;36.32;HFD;KO;Text3-8;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Date;Time;Animal No.;Box;S.Flow;Ref.O2;Ref.CO2;Ref.TD;Flow;Temp;O2;CO2;TD;dO2;dCO2;VO2(3);VCO2(3);RER
;;;;[l/min];[%];[%];[°C];[l/min];[°C];[%];[%];[°C];[%];[%];[ml/h];[ml/h];
08.05.2020;10:32;2265;4;0,4;20,78;0,056;-138,605;0,5;29,5;20,63;0,181;-138,605;0,1473;0,1247;46;37;0,814
08.05.2020;10:37;2265;4;0,4;20,77;0,061;-138,606;0,5;29,5;20,65;0,162;-138,606;0,124;0,1017;39;30;0,783
08.05.2020;10:42;2265;4;0,4;20,77;0,061;-138,606;0,5;29,5;20,64;0,164;-138,605;0,1252;0,1026;39;31;0,783
08.05.2020;10:47;2265;4;0,4;20,77;0,063;-138,605;0,51;29,6;20,64;0,167;-138,605;0,1265;0,1041;40;32;0,787
08.05.2020;10:52;2265;4;0,4;20,77;0,062;-138,605;0,5;29,6;20,63;0,181;-138,605;0,1412;0,1189;44;36;0,808
08.05.2020;10:57;2265;4;0,4;20,77;0,06;-138,606;0,5;29,6;20,64;0,17;-138,606;0,1289;0,1105;40;33;0,826
08.05.2020;11:02;2265;4;0,4;20,77;0,058;-138,605;0,5;29,7;20,63;0,171;-138,605;0,14;0,1134;44;34;0,772
08.05.2020;11:07;2265;4;0,4;20,77;0,057;-138,605;0,5;29,7;20,66;0,153;-138,606;0,1191;0,0968;37;29;0,774
08.05.2020;11:12;2265;4;0,4;20,77;0,056;-138,605;0,48;29,7;20,66;0,153;-138,605;0,1166;0,0968;35;28;0,794
08.05.2020;11:17;2265;4;0,4;20,78;0,055;-138,605;0,5;29,7;20,66;0,153;-138,605;0,1203;0,0977;38;29;0,774
08.05.2020;11:22;2265;4;0,4;20,78;0,054;-138,605;0,5;29,7;20,66;0,154;-138,605;0,1179;0,1002;37;30;0,818
08.05.2020;11:27;2265;4;0,4;20,78;0,054;-138,606;0,5;29,5;20,64;0,169;-138,605;0,1351;0,1149;42;34;0,819
08.05.2020;11:32;2265;4;0,4;20,77;0,056;-138,605;0,5;29,4;20,65;0,158;-138,605;0,1228;0,1022;39;31;0,797
08.05.2020;11:37;2265;4;0,4;20,77;0,055;-138,605;0,5;29,3;20,66;0,151;-138,605;0,113;0,0953;35;29;0,81
08.05.2020;11:42;2265;4;0,4;20,78;0,053;-138,605;0,5;29,3;20,66;0,151;-138,605;0,1203;0,0977;38;29;0,774
08.05.2020;11:47;2265;4;0,4;20,78;0,052;-138,606;0,5;29,3;20,65;0,151;-138,605;0,124;0,0987;39;30;0,756
08.05.2020;11:52;2265;4;0,4;20,78;0,052;-138,605;0,5;29,4;20,66;0,153;-138,605;0,124;0,1017;39;30;0,783
08.05.2020;11:57;2265;4;0,4;20,78;0,052;-138,605;0,5;29,4;20,6;0,205;-138,605;0,1768;0,1527;55;46;0,834
08.05.2020;12:02;2265;4;0,4;20,78;0,052;-138,605;0,49;29,4;20,59;0,219;-138,605;0,1866;0,1665;56;49;0,868
08.05.2020;12:07;2265;4;0,4;20,78;0,051;-138,605;0,5;29,5;20,61;0,193;-138,604;0,1719;0,1424;54;43;0,793
08.05.2020;12:12;2265;4;0,4;20,78;0,051;-138,605;0,5;29,5;20,65;0,162;-138,605;0,1351;0,111;42;33;0,785
08.05.2020;12:17;2265;4;0,4;20,78;0,05;-138,606;0,5;29,5;20,66;0,153;-138,605;0,1228;0,1026;38;31;0,802
08.05.2020;12:22;2265;4;0,4;20,78;0,053;-138,605;0,5;29,6;20,66;0,15;-138,605;0,1179;0,0972;37;29;0,789
08.05.2020;12:27;2265;4;0,4;20,78;0,05;-138,605;0,5;29,6;20,66;0,152;-138,604;0,1203;0,1012;38;30;0,807
08.05.2020;12:32;2265;4;0,4;20,78;0,051;-138,605;0,5;29,7;20,67;0,148;-138,605;0,1142;0,0972;36;29;0,82
08.05.2020;12:37;2265;4;0,4;20,78;0,051;-138,605;0,5;29,7;20,66;0,153;-138,605;0,1215;0,1017;38;31;0,802
08.05.2020;12:42;2265;4;0,4;20,78;0,049;-138,606;0,5;29,7;20,61;0,203;-138,605;0,1694;0,1532;52;46;0,882
08.05.2020;12:47;2265;4;0,4;20,78;0,049;-138,605;0,49;29,7;20,57;0,238;-138,605;0,2124;0,1896;65;56;0,868
08.05.2020;12:52;2265;4;0,4;20,78;0,048;-138,605;0,5;29,5;20,66;0,154;-138,605;0,1252;0,1056;39;32;0,81
08.05.2020;12:57;2265;4;0,4;20,78;0,048;-138,606;0,5;29,4;20,68;0,137;-138,605;0,108;0,0889;34;27;0,786
08.05.2020;13:02;2265;4;0,4;20,78;0,049;-138,605;0,5;29,3;20,67;0,134;-138,605;0,1093;0,0845;35;25;0,73
08.05.2020;13:07;2265;4;0,4;20,78;0,049;-138,605;0,5;29,3;20,66;0,156;-138,605;0,1277;0,1071;40;32;0,804
08.05.2020;13:12;2265;4;0,4;20,78;0,047;-138,606;0,5;29,3;20,62;0,184;-138,605;0,1608;0,137;50;41;0,82
08.05.2020;13:17;2265;4;0,4;20,78;0,047;-138,605;0,5;29,3;20,6;0,211;-138,605;0,1805;0,164;55;49;0,888
08.05.2020;13:22;2265;4;0,4;20,78;0,047;-138,605;0,5;29,4;20,66;0,156;-138,605;0,1277;0,1085;40;33;0,818
08.05.2020;13:27;2265;4;0,4;20,78;0,05;-138,605;0,5;29,4;20,66;0,146;-138,605;0,1179;0,0958;37;29;0,774
08.05.2020;13:32;2265;4;0,4;20,78;0,05;-138,606;0,5;29,4;20,65;0,161;-138,605;0,1326;0,1105;41;33;0,798
08.05.2020;13:37;2265;4;0,4;20,78;0,051;-138,605;0,5;29,5;20,62;0,195;-138,605;0,167;0,1439;52;43;0,832
08.05.2020;13:42;2265;4;0,4;20,78;0,049;-138,605;0,51;29,5;20,64;0,171;-138,606;0,1436;0,1218;46;37;0,815
08.05.2020;13:47;2265;4;0,4;20,78;0,049;-138,605;0,5;29,5;20,67;0,14;-138,605;0,1166;0,0909;37;27;0,736
08.05.2020;13:52;2265;4;0,4;20,78;0,048;-138,606;0,5;29,6;20,68;0,137;-138,605;0,108;0,0894;34;27;0,791
