"";"Genotype";"Animal";"Time";"HP2.mean";"HP2.sd";"VO2.mean";"VO2.sd";"VCO2.mean";"VCO2.sd";"RER.mean";"RER.sd"
"1";"wt";2195;0;258,830751666667;29,915655497521;45,8333333333333;5,27142094580567;38,8333333333333;4,48904390171394;0,844083333333333;0,0148045345223767
"2";"wt";2262;0;326,273515833333;62,4312118631205;58,3333333333333;11,0727621037418;47,0833333333333;9,29768625502978;0,80575;0,0282074297111433
"3";"ko";2263;0;319,770426666667;66,3199316699632;56,25;11,3867945844777;48,9166666666667;10,9416496457206;0,86725;0,0222020678807587
"4";"ko";2265;0;223,618221666667;18,8335523635476;40,0833333333333;3,31548250522066;31,9166666666667;2,90636709604442;0,796;0,0198814669295987
"5";"wt";2195;1;300,00822;73,6718897095397;52,8333333333333;12,9111180653331;45,6666666666667;11,7421798606046;0,865416666666667;0,0158427404271617
"6";"wt";2262;1;322,273560833333;48,8650535846861;57,5833333333333;8,56481526981526;46,4166666666667;7,64506178503285;0,807833333333333;0,0220240914922865
"7";"ko";2263;1;320,520819166667;44,1787952422333;56,25;7,58137670395508;49,3333333333333;7,41415517572279;0,878583333333333;0,0203713628469581
"8";"ko";2265;1;237,495294166667;44,4977017583727;42,5;7,71657012833127;34,1666666666667;7,33402200623088;0,799833333333333;0,0289790938227523
"9";"wt";2195;2;324,85912;68,5764065943085;57,5833333333333;12,0789699540778;48,25;10,566886528637;0,839083333333333;0,0305895357429579
"10";"wt";2262;2;283,897010833333;17,4979433021523;50,4166666666667;3,08834563931546;42,1666666666667;2,79067711996189;0,832833333333333;0,0196461114974362
"11";"ko";2263;2;322,8540275;68,0914580735965;56,75;11,7173143059941;49,5833333333333;11,3974345864109;0,870583333333333;0,0177991743083944
"12";"ko";2265;2;243,952321666667;57,3180402078289;43,4166666666667;9,74640570889722;35,8333333333333;9,81495457622364;0,816833333333333;0,0454349351637408
"13";"wt";2195;3;272,655353333333;60,0744567397052;48,5;10,2646790677369;40,1666666666667;9,85193412790636;0,8215;0,0286562701372984
"14";"wt";2262;3;319,647585;73,3712770587931;56,9166666666667;12,8307750303241;46,9166666666667;11,6576805219355;0,820083333333333;0,0227774143848815
"15";"ko";2263;3;318,636486666667;65,1704028030224;55,9166666666667;11,4451921889684;49,0833333333333;9,93120274079569;0,88025;0,0161308569349104
"16";"ko";2265;3;218,854885;31,1999035450675;39,3333333333333;5,38235050602401;30,8333333333333;4,98786405977427;0,78375;0,0279223761687484
"17";"wt";2195;4;263,184845;47,080959430821;46,75;8,03543289550612;38,9166666666667;8,0278870007599;0,82825;0,0250603816266378
"18";"wt";2262;4;281,0314225;42,6696826842803;50,3333333333333;7,4508490465954;40,25;6,74368391365378;0,797916666666667;0,0237963264289921
"19";"ko";2263;4;338,530479166667;89,6541356848109;59,4166666666667;15,5122141513966;52,25;14,6481460198273;0,876333333333333;0,0268914766264613
"20";"ko";2265;4;273,274518333333;54,4443465838938;48,6666666666667;9,44200800420732;40;8,88307890931353;0,817833333333333;0,0371748530188042
"21";"wt";2195;5;303,8408025;82,9546268583247;54;14,6163047189214;44,6666666666667;12,6371266392709;0,827583333333333;0,0159684822147386
"22";"wt";2262;5;337,476174166667;60,5574595590156;59,6666666666667;10,9239797387826;50,75;8,52936105461599;0,85275;0,0276574007849946
"23";"ko";2263;5;295,269005;42,7614914500917;51,75;7,31281564975302;45,8333333333333;7,13293683406687;0,883666666666667;0,0183814794801395
"24";"ko";2265;5;222,180431666667;30,9740758730757;39,5833333333333;5,26494985443328;32,5;5,45227225359049;0,81775;0,0335156001668694
"25";"wt";2195;6;318,526979166667;82,9150197166224;56,6666666666667;14,5560567420846;46,8333333333333;12,755272231394;0,8225;0,0245597601409667
"26";"wt";2262;6;365,0679325;77,697256744179;64,25;13,5922772190682;55,5;12,1767289233491;0,867666666666667;0,0156863190730205
"27";"ko";2263;6;346,140381666667;87,5872106758136;60,75;15,1064405289448;53,4166666666667;14,2984953647917;0,875833333333333;0,0213832276385588
"28";"ko";2265;6;224,3652775;53,7139397373071;40,0833333333333;9,29768625502978;32,4166666666667;8,78488716058678;0,804083333333333;0,0328037091398722
"29";"wt";2195;7;306,5127825;57,032087830695;53,8333333333333;9,77783516971219;47,0833333333333;9,82074180991282;0,874916666666667;0,0359455606902067
"30";"wt";2262;7;342,867174166667;76,3099081793953;60,3333333333333;13,3711584684304;52,3333333333333;11,6956350314072;0,868833333333333;0,0186344418816992
"31";"ko";2263;7;359,314358333333;74,0937220106183;63,25;12,8000355113144;54,75;12,1140414395857;0,865083333333333;0,0196628784230282
"32";"ko";2265;7;296,6814;60,3355499518367;52,3333333333333;10,5686787110296;45,0833333333333;9,45283346970952;0,858416666666667;0,0295433682247067
"33";"wt";2195;8;452,5980775;82,8230428258894;79,5833333333333;14,3302498445094;69,3333333333333;13,4051098353191;0,87025;0,0188251524200035
"34";"wt";2262;8;404,764980833333;66,3547193007731;71,3333333333333;11,5627405789877;61,3333333333333;10,4475602487622;0,86225;0,0172422578146093
"35";"ko";2263;8;440,416985;102,482009025727;77,1666666666667;17,7140587892182;68,3333333333333;16,8648819273733;0,883833333333333;0,0224168497232584
"36";"ko";2265;8;384,922681666667;55,9465934590196;68;9,71409472692316;58,1666666666667;9,05371177858545;0,852333333333333;0,0218521200691181
"37";"wt";2195;9;393,788425;81,1973100836661;68,9166666666667;13,7672756487215;61,5;14,0873895897908;0,886666666666667;0,0272808068840059
"38";"wt";2262;9;380,726365;71,1673525155833;67,0833333333333;12,413030787577;58,0833333333333;11,2448641475551;0,86275;0,0147963447574669
"39";"ko";2263;9;394,342763333333;71,8232868014075;69,0833333333333;12,4057049437553;61,3333333333333;11,7576538579099;0,8855;0,0165940843785861
"40";"ko";2265;9;335,509604166667;84,1036165618917;59,4166666666667;14,8413325383926;50,0833333333333;12,6811121775894;0,843;0,0103747946310452
"41";"wt";2195;10;348,559735;54,8623498196183;61,3333333333333;9,58534234541406;53,1666666666667;8,91202796361425;0,868833333333333;0,0165355448178838
"42";"wt";2262;10;389,2096025;90,812644078953;68,6666666666667;16,1489281002758;58,9166666666667;13,4600981580463;0,860333333333333;0,0195091276228862
"43";"ko";2263;10;457,486005833333;81,5217322799663;79,9166666666667;13,9379034117457;71,6666666666667;13,7466249301309;0,89575;0,0235955504279939
"44";"ko";2265;10;365,884795;102,168647887534;64,4166666666667;17,9365464058636;56;15,9601777160304;0,865666666666667;0,0245554412904696
"45";"wt";2195;11;397,384273333333;93,3193723999121;69,75;16,1814989754012;61,1666666666667;15,0504203102489;0,877083333333333;0,017773618515978
"46";"wt";2262;11;373,799795833333;77,0370157065823;66,3333333333333;13,6869767784319;55,6666666666667;11,3244171700986;0,835833333333333;0,0130581450258125
"47";"ko";2263;11;403,5346475;66,0616201888009;70,9166666666667;11,3093552049405;62;11,3137084989848;0,871916666666667;0,0252890861596041
"48";"ko";2265;11;349,699169166667;65,82817202409;61,5833333333333;11,5085607135284;53,3333333333333;10,1473985321213;0,864833333333333;0,0184284036369421
"49";"wt";2195;12;419,730496666667;109,003178206792;73,9166666666667;18,9854409929548;64,1666666666667;17,3929627009073;0,86325;0,0266837539951321
"50";"wt";2262;12;384,156365;66,9927886377652;68,5;11,7202233922241;55,5833333333333;10,4833923494027;0,814666666666667;0,0227569503202601
"51";"ko";2263;12;378,734939166667;84,834327849373;66,5;14,7370898817174;58,5833333333333;13,7342195948218;0,876333333333333;0,0205086825663196
"52";"ko";2265;12;280,402466666667;61,5532863337458;49,5;10,6642989796457;42,25;9,78983703086569;0,854;0,0235835073341905
"53";"wt";2195;13;389,442404166667;97,4333353679046;69;16,8144959105907;58;16,0736939240374;0,837333333333333;0,027453542024609
"54";"wt";2262;13;300,300373333333;48,4774803978208;53,9166666666667;8,7641660219673;42,4166666666667;6,82852750443226;0,790833333333333;0,0253155838936965
"55";"ko";2263;13;443,8553325;95,4004228349284;77,75;16,6029843976645;69,0833333333333;15,1505075422535;0,885583333333333;0,0258367544166809
"56";"ko";2265;13;384,684229166667;51,2242974567946;68;8,87283904549568;57,8333333333333;8,38649708360608;0,849916666666667;0,0160875916799441
"57";"wt";2195;14;347,410253333333;69,5753119627537;61,3333333333333;12,0855536100175;52,5833333333333;11,4133759911409;0,854416666666667;0,0143492688019814
"58";"wt";2262;14;371,126448333333;74,3028902151069;66,0833333333333;13,1940643220099;54,5;10,8082460102545;0,821916666666667;0,0161158213247013
"59";"ko";2263;14;370,067921666667;72,2237513938063;65,0833333333333;12,4860528251131;56,75;11,8484751608114;0,8695;0,0172863582578339
"60";"ko";2265;14;259,1626875;43,5732416505936;46,25;7,47267750481105;37,8333333333333;7,33402200623088;0,81075;0,0250821377949256
"61";"wt";2195;15;365,19943;82,6136464589793;64,6666666666667;14,3167627964459;54,6666666666667;13,2824787755992;0,841083333333333;0,022721468955927
"62";"wt";2262;15;358,4198875;96,6055878815946;64,0833333333333;17,196502463283;51,75;14,2517941454273;0,805833333333333;0,017345857945884
"63";"ko";2263;15;383,025340833333;67,9500648732624;67;11,6930437751371;59,8333333333333;11,4163625263625;0,891333333333333;0,0183220350861189
"64";"ko";2265;15;310,718331666667;83,4276949767531;55,1666666666667;14,6214868870399;45,9166666666667;12,9717058059128;0,831;0,0190644838759025
"65";"wt";2195;16;370,440455833333;99,1884081570388;65,75;17,5090885490417;54,75;15,2561463023924;0,833916666666667;0,0210041482194409
"66";"wt";2262;16;339,5086125;75,2869478882574;60,9166666666667;13,3379726777166;48,3333333333333;11,1137370634342;0,790666666666667;0,0185341617429856
"67";"ko";2263;16;350,76154;51,3394370873108;61,5833333333333;8,89799092066532;54;8,46382677258719;0,877416666666667;0,0167682510246073
"68";"ko";2265;16;316,2957775;60,4060954974401;56,1666666666667;10,6158828976666;46,75;9,39172750108016;0,831666666666667;0,0172380832795156
"69";"wt";2195;17;373,1349525;97,7187503847151;66,4166666666667;17,042504795275;54,8333333333333;15,5612183055028;0,819583333333333;0,0296140578820671
"70";"wt";2262;17;372,165305833333;96,585582118819;66,3333333333333;17,2380832795156;54,4166666666667;14,2475409893225;0,818916666666667;0,0128943844953976
"71";"ko";2263;17;337,355019166667;57,0975700791642;59,4166666666667;9,8484731934663;51,3333333333333;9,56635518445513;0,864083333333333;0,0155590273903395
"72";"ko";2265;17;285,970674166667;51,0665249379056;50,9166666666667;8,91840113405305;42;8,24621125123532;0,820916666666667;0,0153886518597506
"73";"wt";2195;18;334,790621666667;87,4332580630856;59,75;15,5862701818562;48,5;12,8593793148673;0,81325;0,0201048388567167
