211103_TV2_Grp16_PHFD0,00+CD_SPF;;TX001;TX002;TX003;;;;;;;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;;;;;;;;
Box;Animal No.;Weight [g];Diet;Strain;Text3;;;;;;;;
2;6823;39,2;HFD 0,05;Text2-2;Text3-2;;;;;;;;
3;6825;30,4;HFD 0,05;Text2-3;Text3-3;;;;;;;;
4;6827;29,2;CD;Text2-4;Text3-4;;;;;;;;
5;6828;30,1;CD;Text2-5;Text3-5;;;;;;;;
6;6829;30,1;CD;Text2-6;Text3-6;;;;;;;;
;;;;;;;;;;;;;
Date;Time;Animal No.;Box;S.Flow;Ref.O2;Ref.CO2;Ref.TD;Flow;O2;CO2;VO2(3);VCO2(3);RER
;;;;[l/min];[%];[%];[°C];[l/min];[%];[%];[ml/h];[ml/h];
03.11.2021;09:21;6823;2;0,55;20,75;0,059;-138,598;0,7;20,41;0,356;150;125;0,836
03.11.2021;09:27;6823;2;0,55;20,74;0,059;-138,595;0,7;20,44;0,323;133;111;0,837
03.11.2021;09:33;6823;2;0,55;20,75;0,058;-138,594;0,7;20,48;0,286;113;96;0,845
03.11.2021;09:39;6823;2;0,55;20,75;0,056;-138,594;0,7;20,42;0,351;141;124;0,878
03.11.2021;09:45;6823;2;0,55;20,75;0,054;-138,594;0,7;20,42;0,354;144;127;0,885
03.11.2021;09:51;6823;2;0,55;20,75;0,053;-138,595;0,7;20,45;0,323;129;114;0,881
03.11.2021;09:57;6823;2;0,55;20,75;0,051;-138,594;0,7;20,44;0,336;136;119;0,878
03.11.2021;10:03;6823;2;0,55;20,75;0,05;-138,594;0,7;20,43;0,344;141;124;0,88
03.11.2021;10:09;6823;2;0,55;20,75;0,05;-138,594;0,7;20,43;0,343;138;124;0,899
03.11.2021;10:15;6823;2;0,55;20,76;0,049;-138,594;0,7;20,44;0,339;135;122;0,905
03.11.2021;10:21;6823;2;0,55;20,76;0,048;-138,594;0,7;20,43;0,349;139;126;0,908
03.11.2021;10:27;6823;2;0,55;20,76;0,047;-138,594;0,7;20,47;0,312;125;111;0,891
03.11.2021;10:33;6823;2;0,55;20,76;0,047;-138,594;0,7;20,43;0,349;138;127;0,92
03.11.2021;10:39;6823;2;0,55;20,76;0,047;-138,594;0,7;20,43;0,347;140;126;0,902
03.11.2021;10:45;6823;2;0,55;20,76;0,046;-138,594;0,7;20,46;0,316;126;113;0,9
03.11.2021;10:51;6823;2;0,55;20,76;0,046;-138,595;0,7;20,42;0,354;145;129;0,891
03.11.2021;10:57;6823;2;0,55;20,76;0,046;-138,595;0,7;20,49;0,283;118;100;0,842
03.11.2021;11:03;6823;2;0,55;20,76;0,046;-138,594;0,7;20,49;0,28;115;99;0,86
03.11.2021;11:09;6823;2;0,55;20,76;0,046;-138,595;0,7;20,51;0,265;109;92;0,842
03.11.2021;11:15;6823;2;0,55;20,76;0,046;-138,595;0,7;20,49;0,281;115;99;0,864
03.11.2021;11:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,288;116;102;0,88
03.11.2021;11:27;6823;2;0,55;20,76;0,045;-138,594;0,69;20,48;0,296;118;104;0,88
03.11.2021;11:33;6823;2;0,55;20,76;0,045;-138,594;0,71;20,42;0,362;148;134;0,907
03.11.2021;11:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,47;0,308;123;111;0,904
03.11.2021;11:45;6823;2;0,55;20,76;0,045;-138,594;0,7;20,44;0,345;137;127;0,926
03.11.2021;11:51;6823;2;0,55;20,76;0,045;-138,594;0,69;20,48;0,311;120;111;0,922
03.11.2021;11:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,294;115;104;0,908
03.11.2021;12:03;6823;2;0,55;20,76;0,045;-138,595;0,7;20,5;0,29;112;103;0,92
03.11.2021;12:09;6823;2;0,55;20,76;0,045;-138,594;0,7;20,5;0,289;114;103;0,905
03.11.2021;12:15;6823;2;0,55;20,76;0,044;-138,595;0,7;20,51;0,27;106;95;0,896
03.11.2021;12:21;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,291;115;103;0,898
03.11.2021;12:27;6823;2;0,55;20,76;0,045;-138,595;0,7;20,5;0,278;111;98;0,888
03.11.2021;12:33;6823;2;0,55;20,76;0,045;-138,595;0,7;20,5;0,276;110;96;0,879
03.11.2021;12:39;6823;2;0,55;20,76;0,045;-138,594;0,7;20,52;0,262;104;91;0,872
03.11.2021;12:45;6823;2;0,55;20,76;0,045;-138,595;0,7;20,48;0,3;122;107;0,88
03.11.2021;12:51;6823;2;0,55;20,76;0,045;-138,594;0,7;20,49;0,297;117;106;0,906
03.11.2021;12:57;6823;2;0,55;20,76;0,045;-138,594;0,7;20,42;0,372;146;137;0,942
03.11.2021;13:03;6823;2;0,55;20,76;0,044;-138,594;0,7;20,5;0,282;110;100;0,906
03.11.2021;13:09;6823;2;0,55;20,76;0,044;-138,595;0,7;20,53;0,253;99;88;0,894
03.11.2021;13:15;6823;2;0,55;20,76;0,044;-138,595;0,71;20,53;0,255;100;90;0,898
03.11.2021;13:21;6823;2;0,55;20,76;0,044;-138,595;0,7;20,52;0,263;101;92;0,904
03.11.2021;13:27;6823;2;0,55;20,76;0,044;-138,595;0,7;20,51;0,276;106;98;0,919
03.11.2021;13:33;6823;2;0,55;20,76;0,044;-138,595;0,7;20,51;0,275;108;97;0,898
03.11.2021;13:39;6823;2;0,55;20,76;0,044;-138,594;0,7;20,52;0,257;102;89;0,877
03.11.2021;13:45;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,276;108;97;0,905
03.11.2021;13:51;6823;2;0,55;20,76;0,044;-138,595;0,69;20,52;0,264;103;91;0,883
03.11.2021;13:57;6823;2;0,55;20,76;0,044;-138,594;0,7;20,51;0,269;106;94;0,894
03.11.2021;14:03;6823;2;0,55;20,76;0,045;-138,595;0,7;20,5;0,286;112;102;0,904
03.11.2021;14:09;6823;2;0,55;20,76;0,044;-138,594;0,7;20,46;0,322;127;117;0,923
03.11.2021;14:15;6823;2;0,55;20,76;0,044;-138,594;0,7;20,5;0,286;112;101;0,904
03.11.2021;14:21;6823;2;0,55;20,76;0,044;-138,594;0,7;20,52;0,261;105;91;0,872
