"";"Datetime";"Animal No._NA";"Box_NA";"TempC_[°C]";"HumC_[%]";"LightC_[%]";"S.Flow_[l/min]";"Ref.O2_[%]";"Ref.CO2_[%]";"Flow_[l/min]";"Temp_[°C]";"O2_[%]";"CO2_[%]";"dO2_[%]";"dCO2_[%]";"VO2(1)_[ml/h/kg]";"VO2(2)_[ml/h/kg]";"VO2(3)_[ml/h]";"VCO2(1)_[ml/h/kg]";"VCO2(2)_[ml/h/kg]";"VCO2(3)_[ml/h]";"RER_NA";"H(1)_[kcal/h/kg]";"H(2)_[kcal/h/kg]";"H(3)_[kcal/h]";"XT+YT_[Cnts]";"XT_[Cnts]";"XA_[Cnts]";"XF_[Cnts]";"YT_[Cnts]";"YA_[Cnts]";"YF_[Cnts]";"Z_[Cnts]";"CenT_[Cnts]";"CenA_[Cnts]";"CenF_[Cnts]";"PerT_[Cnts]";"PerA_[Cnts]";"PerF_[Cnts]";"DistK_[cm]";"DistD_[cm]";"Speed_[cm/s]";"Drink_[ml]";"Feed1_[g]";"Datetime2";"hour";"minutes";"MeasPoint";"diff.sec";"running_total.sec";"running_total.hrs";"running_total.hrs.round";"timeintervalinmin";"running_total.hrs.halfhour";"HP";"HP2"
"1";"09/11/2020 10:08";6722;2;22,8;62;49;0,35;20,76;0,047;0,35;23,8;20,43;0,32;0,331;0,272;3206;1244;73;2519;978;57;0,786;15,42;5,985;0,35;2637;1366;1084;282;1271;992;279;350;966;785;181;1671;1291;380;2044;2044;2;0,03;0,04;2020-11-09 10:08:00;10;8;1;0;0;0;0;0;0;406,204704;406,17054
"2";"09/11/2020 10:08";6715;3;22,8;62;49;0,35;20,76;0,047;0,35;23,4;20,47;0,298;0,296;0,25;2925;1128;65;2379;917;53;0,813;14,16;5,46;0,313;2653;1450;1151;299;1203;905;298;379;701;581;120;1952;1475;477;1998;1998;2;0,01;0,03;2020-11-09 10:08:00;10;8;1;0;0;0;0;0;0;364,61646;364,16835
"3";"09/11/2020 10:23";6722;2;22,9;56;49;0,35;20,78;0,048;0,35;23,6;20,4;0,371;0,384;0,323;3694;1434;84;2982;1157;68;0,807;17,856;6,931;0,405;2371;1230;982;248;1141;862;279;246;1004;807;197;1367;1037;330;3867;1823;2;0,04;0,05;2020-11-09 10:23:00;10;23;2;900;900;0,2;0;0,333333333333333;0,333333333333333;470,355984;469,89684
"4";"09/11/2020 10:23";6715;3;22,9;56;49;0,35;20,78;0,048;0,35;23,4;20,45;0,326;0,326;0,278;3213;1239;71;2640;1018;58;0,822;15,584;6,009;0,344;2110;1151;863;288;959;718;241;381;443;361;82;1667;1220;447;3549;1551;2;0,04;0,03;2020-11-09 10:23:00;10;23;2;900;900;0,2;0;0,333333333333333;0,333333333333333;399,339216;398,69766
"5";"09/11/2020 10:38";6722;2;23;55;49;0,35;20,8;0,046;0,35;23,5;20,4;0,372;0,397;0,326;3876;1505;88;3036;1179;69;0,783;18,634;7,233;0,423;1376;742;533;209;634;455;179;143;614;437;177;762;551;211;4852;985;1;0,04;0,05;2020-11-09 10:38:00;10;38;3;900;1800;0,5;0;0,5;0,5;489,231072;489,25272
"6";"09/11/2020 10:38";6715;3;23;55;49;0,35;20,8;0,046;0,35;23,5;20,46;0,331;0,345;0,285;3435;1325;76;2711;1045;60;0,789;16,537;6,376;0,365;1827;1032;787;245;795;576;219;339;548;452;96;1279;911;368;4833;1285;1;0,06;0,03;2020-11-09 10:38:00;10;38;3;900;1800;0,5;0;0,5;0,5;423,278352;423,18852
"7";"09/11/2020 10:53";6722;2;23,1;54;49;0,35;20,81;0,044;0,36;23,5;20,41;0,366;0,396;0,322;3978;1544;90;3082;1196;70;0,775;19,087;7,409;0,433;984;517;337;180;467;318;149;104;341;251;90;643;404;239;5495;643;1;0,04;0,05;2020-11-09 10:53:00;10;53;4;900;2700;0,8;0;0,833333333333333;0,833333333333333;499,149;499,3425
"8";"09/11/2020 10:53";6715;3;23,1;54;49;0,35;20,81;0,044;0,35;23,5;20,51;0,286;0,296;0,242;2950;1138;65;2301;887;51;0,78;14,172;5,464;0,313;1668;894;652;242;774;528;246;256;264;225;39;1404;955;449;5933;1099;1;0,06;0,03;2020-11-09 10:53:00;10;53;4;900;2700;0,8;0;0,833333333333333;0,833333333333333;361,0386;361,101
"9";"09/11/2020 11:08";6722;2;23,2;52;49;0,35;20,81;0,043;0,36;23,6;20,42;0,354;0,39;0,311;3918;1521;89;2967;1152;67;0,757;18,723;7,268;0,425;232;37;13;24;195;104;91;0;75;48;27;157;69;88;5555;60;0;0,04;0,05;2020-11-09 11:08:00;11;8;5;900;3600;1;1;0;1;490,930764;491,50339
"10";"09/11/2020 11:08";6715;3;23,2;52;49;0,35;20,81;0,043;0,35;23,5;20,53;0,274;0,286;0,232;2856;1101;63;2199;848;49;0,77;13,688;5,278;0,303;1170;678;489;189;492;330;162;211;254;213;41;916;606;310;6724;791;1;0,06;0,03;2020-11-09 11:08:00;11;8;5;900;3600;1;1;0;1;348,87888;349,0893
"11";"09/11/2020 11:23";6722;2;23,2;52;49;0,35;20,81;0,042;0,36;23,5;20,45;0,328;0,36;0,286;3571;1386;81;2691;1044;61;0,754;17,048;6,617;0,387;143;66;40;26;77;42;35;21;26;18;8;117;64;53;5629;74;0;0,04;0,05;2020-11-09 11:23:00;11;23;6;900;4500;1,2;1;0,333333333333333;1,33333333333333;446,396832;446,97582
"12";"09/11/2020 11:23";6715;3;23,2;52;49;0,35;20,81;0,042;0,35;23,5;20,58;0,223;0,228;0,18;2289;882;51;1713;660;38;0,748;10,914;4,208;0,241;369;212;107;105;157;101;56;64;25;18;7;344;190;154;6930;206;0;0,06;0,03;2020-11-09 11:23:00;11;23;6;900;4500;1,2;1;0,333333333333333;1,33333333333333;280,554264;280,99164
"13";"09/11/2020 11:38";6722;2;22,9;53;49;0,35;20,81;0,042;0,35;23,6;20,48;0,307;0,338;0,265;3323;1290;75;2465;957;56;0,742;15,822;6,141;0,359;1121;567;437;130;554;402;152;199;330;265;65;791;574;217;6513;884;1;0,04;0,05;2020-11-09 11:38:00;11;38;7;900;5400;1,5;1;0,5;1,5;411,8292;412,5795
"14";"09/11/2020 11:38";6715;3;22,9;53;49;0,35;20,81;0,042;0,35;23,5;20,59;0,215;0,22;0,173;2205;850;49;1638;632;36;0,743;10,5;4,048;0,232;239;144;102;42;95;65;30;20;11;10;1;228;157;71;7074;145;0;0,06;0,03;2020-11-09 11:38:00;11;38;7;900;5400;1,5;1;0,5;1,5;269,143476;269,62201
